Modello,Prezzo,Località,Provincia,Usato,Data,Km,Alimentazione,Cambio,Euro
Volkswagen Tiguan 2014 2.0cc Sport & Style Dsg,15.500 €,Orbassano ,(TO),Usato,07/2014,97592 Km,Diesel,Automatico,Euro 5
Peugeot 206 - 2012 gpl,6.450 €,Comiso ,(RG),Usato,05/2012,79400 Km,Gpl,Manuale,Euro 5
Lancia Musa 1.4 70kw Pelle doppio tetto panoramico,2.800 €,Isola Vicentina ,(VI),Usato,07/2006,239000 Km,Benzina,Manuale,
OPEL Corsa 4ª serie - 2013 gpl,5.900 €,Rufina ,(FI),Usato,05/2013,160000 Km,Gpl,Manuale,
FIAT Panda 3ª serie - 2016,7.000 €,Guspini ,(SU),Usato,07/2016,15000 Km,Diesel,,
Ford Fiesta 1.1 75 CV GPL 5 porte Titanium,15.400 €,Bologna ,(BO),Usato,12/2019,63400 Km,Gpl,Manuale,
FIAT Panda 1.2 Easy,8.600 €,Molfetta ,(BA),Usato,07/2016,110000 Km,Benzina,Manuale,Euro 6
LAND ROVER EVOQUE 2.0 150cv Black edition 2018,27.490 €,Napoli ,(NA),Usato,02/2018,115000 Km,Diesel,Automatico,Euro 6
Fiat 500L 1.3 Multijet 85 CV Pop Star,9.900 €,Sant'Antimo ,(NA),Usato,12/2013,119 Km,Diesel,Manuale,Euro 5
Peugeot Bipper 1.3 hdi Active,8.990 €,Forli' ,(FC),Usato,03/2013,128000 Km,Diesel,Automatico,Euro 5
MERCEDES Classe B (W247) - 2008,3.500 €,Palermo ,(PA),Usato,10/2008,200000 Km,Diesel,Manuale,Euro 4
Fiat 500 1.2 GPL EasyPower Lounge,7.700 €,Palo del Colle ,(BA),Usato,11/2014,201000 Km,Gpl,Manuale,Euro 6
Ford Focus 1.5 TDCi Start&Stop SW Plus,11.199 €,Palo del Colle ,(BA),Usato,11/2017,109000 Km,Diesel,Manuale,Euro 6
Audi A3 SPB 2.0 TDI F.AP. Ambition,5.500 €,Ribera ,(AG),Usato,10/2009,270000 Km,Diesel,Manuale,Euro 5
Vw golf 7 variant 1.6 tdi 110cv dsg highline,12.800 €,Pergine Valsugana ,(TN),Usato,05/2014,135000 Km,Diesel,Automatico,Euro 5
RENAULT Clio 4ª serie - 2018,10.800 €,Imperia ,(IM),Usato,09/2018,26000 Km,Benzina,Manuale,Euro 6
Smart ForTwo 700 coupé passion (45 kW),2.500 €,Roma ,(RM),Usato,10/2005,170000 Km,Benzina,Automatico,Euro 4
Smart ForTwo 1000 62 kW coupé passion,6.300 €,Roma ,(RM),Usato,10/2012,90000 Km,Benzina,Automatico,Euro 5
Honda Civic 1.4 Benzina Impeccabile,3.990 €,Loreggia ,(PD),Usato,01/1998,69000 Km,Benzina,Manuale,
Mercedes-benz C 220 C 220 d S.W. Sport,23.900 €,Campagna ,(SA),Usato,01/2018,97411 Km,Diesel,Automatico,Euro 6
Ford EcoSport 1.0 EcoBoost 100 CV ST-Line,17.400 €,Roma ,(RM),Usato,09/2019,33000 Km,Benzina,Manuale,Euro 6
500 cabrio full 1.3mjet,9.600 €,Cagliari ,(CA),Usato,04/2012,130000 Km,Diesel,,
Fiat punto benzina neopatentati,2.300 €,Uggiate-Trevano ,(CO),Usato,08/2009,7000 Km,Benzina,,
Bmw 118 118d 5p. Urban,14.500 €,Roma ,(RM),Usato,05/2016,170000 Km,Diesel,Manuale,Euro 6
Fiat 500X 2.0 MultiJet 140 CV AT9 4x4 Cross Plus,13.450 €,Roma ,(RM),Usato,10/2015,143000 Km,Diesel,Automatico,Euro 6
Fiat 500X 1.6 MultiJet 120 CV Business,18.500 €,Roma ,(RM),Usato,07/2019,37065 Km,Diesel,Manuale,Euro 6
AUDI Q5 2.0 TDI 190 cv quattro S tronic Business,35.800 €,Montella ,(AV),Usato,08/2018,98000 Km,Diesel,Automatico,Euro 6
Renault Scenic 1.6 Benzina Tetto Panoramico,3.690 €,Loreggia ,(PD),Usato,07/2006,139000 Km,Benzina,Manuale,
NISSAN NAVARA ANNO 2004 2.5 td 4x4,10.900 €,Palermo ,(PA),Usato,07/2004,120000 Km,Diesel,Manuale,Euro 4
LANCIA Ypsilon 1.2 Oro,3.900 €,Monselice ,(PD),Usato,05/2006,129400 Km,Benzina,Manuale,Euro 4
Volvo V60 D2 Geartronic Business 1 PROPRIETARIO 17,13.990 €,Napoli ,(NA),Usato,05/2017,104000 Km,Diesel,Automatico,Euro 6
Fiat Doblò 1.6 MULTIJET 105cv 3Posti 2015,8.800 €,Napoli ,(NA),Usato,07/2015,70000 Km,Diesel,Manuale,Euro 5
BMW Serie 7 (E65/E66) - 2006,7.200 €,Bologna ,(BO),Usato,03/2006,223000 Km,Diesel,Automatico,Euro 4
